transaction_id,customer_id,date,category,product_name,quantity,unit_price,total_amount,payment_method,city,rating,delivery_status,return_days
TXN_010163,CUST_03163,2023-03-25,Clothing,Jeans,2,12.42580245366965,24.8516049073393,CREDIT CARD,,3.0,Delivered,
TXN_010320,CUST_03320,2024-01-07,Home & Garden,Lamp,1,40.242141150672374,40.242141150672374,Credit Card,los angeles,4.0,Cancelled,20.0
TXN_002713,CUST_02713,2023-04-09,Books,Shampoo,5,4.648000631593654,23.24000315796827,Debit Card,,5.0,Shipped,13.0
TXN_000086,CUST_00086,2023-05-21,Electronics,T-Shirt,7,9.341969885412436,65.39378919788705,CASH,houston,5.0,Returned,
TXN_009185,CUST_02185,2023-01-26,Food,Chocolate,6,10.634673691419907,63.80804214851945,Credit Card,los angeles,5.0,Cancelled,
TXN_002821,CUST_02821,2022-08-26,Beauty,Headphones,5,2.59647770963917,12.982388548195848,CREDIT CARD,,3.0,Delivered,
TXN_007683,CUST_00683,2024-08-05,Sports,Table,6,5.488317791418125,32.92990674850875,Credit Card,chicago,2.0,Pending,
TXN_008714,CUST_01714,2024-12-17,Clothing,Laptop,2,54.98252332546224,109.96504665092448,PayPal,Chicago,1.0,Delivered,
TXN_014580,CUST_00580,2023-06-07,Beauty,Table,3,10.96120789613058,32.88362368839174,debit card,,5.0,Shipped,
TXN_007863,CUST_00863,2024-08-15,Food,Laptop,7,7.049070446490687,49.343493125434804,Debit Card,Phoenix,3.0,Shipped,7.0
TXN_008686,CUST_01686,2024-10-25,Beauty,Laptop,1,18.964554811635455,18.964554811635455,paypal,,,Pending,
TXN_011435,CUST_00935,2023-08-06,Sports,Fiction Novel,4,8.860475178223414,35.441900712893656,Cash,Houston,5.0,Cancelled,29.0
TXN_006865,CUST_03365,2022-12-22,Books,Jacket,2,9.037316197726051,18.074632395452102,PayPal,Houston,,Pending,
TXN_009216,CUST_02216,2022-04-04,Home & Garden,Tech Book,2,19.243590974523244,38.48718194904649,paypal,Los Angeles,4.0,Shipped,2.0
TXN_008470,CUST_01470,2022-11-27,Food,Biography,6,2.071892255975126,12.431353535850755,Cash,houston,5.0,Processing,
TXN_014170,CUST_00170,2022-07-08,Books,Headphones,3,24.79965695734961,74.39897087204884,PayPal,,5.0,Delivered,
TXN_008324,CUST_01324,2023-04-22,Clothing,Self-Help,2,2.5,5.0,Cash,Chicago,3.0,Processing,
TXN_001164,CUST_01164,2022-08-10,Books,Pillow,1,8.762921736478159,8.762921736478159,paypal,los angeles,5.0,Shipped,
TXN_011146,CUST_00646,2022-11-07,Food,Bicycle,3,10.558749938355884,31.676249815067653,Credit Card,houston,5.0,Delivered,27.0
TXN_006647,CUST_03147,2024-08-19,Electronics,Chair,6,18.881965492019365,113.29179295211618,credit card,los angeles,3.0,Shipped,
TXN_008657,CUST_01657,2023-10-04,Home & Garden,Dress,2,5.689318721150755,11.37863744230151,CASH,,5.0,Delivered,
TXN_004807,CUST_01307,2024-01-10,Beauty,Monitor,1,155.55512648309409,155.55512648309409,CREDIT CARD,houston,3.0,Pending,
TXN_001110,CUST_01110,2022-10-31,Clothing,Jacket,6,14.09927502488596,84.59565014931576,paypal,NYC,3.0,Returned,
TXN_007890,CUST_00890,2022-06-01,Books,Chair,6,1.359183653180373,8.155101919082238,paypal,Houston,3.0,Shipped,13.0
TXN_001254,CUST_01254,2023-08-16,Clothing,Sweater,2,28.924470373617783,57.84894074723557,Cash,NYC,4.0,Returned,
TXN_012278,CUST_01778,2022-12-01,Food,Charger,4,13.920670108142048,55.68268043256819,credit card,,4.0,Processing,
TXN_002743,CUST_02743,2022-11-07,Clothing,Monitor,3,2.529283122851417,7.5878493685542505,Debit Card,,5.0,Pending,
TXN_000895,CUST_00895,2022-05-21,Electronics,Tech Book,6,1.9116117527415064,11.469670516449039,debit card,Phoenix,5.0,Processing,
